paper	program
w11480	AP
w11479	PR
w11479	ITI
w11478	LE
w11478	AP
w11477	AP
w11476	EFG
w11476	AP
w11475	PR
w11474	LS
w12265	PE
w11100	EH
w13577	DAE
w13576	LS
w13576	DAE
w13587	EEE
w13575	EEE
w13574	EEE
w13573	EEE
w13572	EEE
w13571	IFM
w13570	LS
w13570	CF
w12924	PE
w13569	ME
w13568	LS
w13568	DAE
w13562	POL
w11100	AG
w13559	AP
w13557	POL
w13564	LE
w13563	LE
h0001	DAE
h0002	DAE
h0003	DAE
h0004	DAE
h0005	DAE
h0006	DAE
h0007	DAE
h0008	DAE
h0009	DAE
h0010	DAE
h0010	PR
h0011	DAE
h0012	DAE
h0013	DAE
h0014	DAE
h0015	DAE
h0016	DAE
h0017	DAE
h0018	DAE
h0019	DAE
h0020	DAE
h0021	DAE
h0022	DAE
h0023	DAE
h0024	DAE
h0025	DAE
h0026	DAE
h0027	DAE
h0028	DAE
h0029	DAE
h0030	DAE
h0031	DAE
h0032	DAE
h0033	DAE
h0034	DAE
h0035	DAE
h0036	DAE
h0036	EFG
h0037	DAE
h0038	DAE
h0039	DAE
h0040	DAE
h0041	DAE
h0042	DAE
h0043	DAE
h0044	DAE
h0045	DAE
h0046	DAE
h0047	DAE
h0048	DAE
h0048	EFG
h0049	DAE
h0049	IO
h0050	DAE
h0051	DAE
h0052	DAE
h0053	DAE
h0054	DAE
h0055	DAE
h0058	DAE
h0059	DAE
h0060	EFG
h0060	ITI
h0060	DAE
h0061	DAE
h0061	LS
h0062	DAE
h0063	DAE
h0064	DAE
h0065	DAE
h0066	DAE
h0067	DAE
h0067	ME
h0068	DAE
h0069	DAE
h0070	DAE
h0071	DAE
h0072	DAE
h0073	DAE
h0074	DAE
h0075	DAE
h0076	DAE
h0077	DAE
h0078	DAE
h0079	DAE
h0080	DAE
h0081	DAE
h0082	DAE
h0083	DAE
h0084	DAE
h0084	ME
h0085	DAE
h0086	DAE
h0087	DAE
h0088	DAE
h0089	DAE
h0090	DAE
h0090	PE
h0091	DAE
h0092	DAE
h0093	DAE
h0094	DAE
h0095	DAE
h0096	DAE
h0097	DAE
h0098	DAE
h0099	DAE
h0100	DAE
h0101	DAE
h0102	DAE
h0103	DAE
h0104	DAE
h0105	DAE
h0105	LS
h0106	DAE
h0107	DAE
h0108	DAE
h0109	DAE
h0110	DAE
h0111	DAE
h0112	DAE
h0113	DAE
h0114	DAE
h0115	DAE
h0116	DAE
h0117	DAE
h0118	DAE
h0119	DAE
h0120	DAE
h0121	DAE
h0122	DAE
h0123	DAE
h0124	DAE
h0124	IFM
h0125	DAE
h0126	DAE
h0127	DAE
h0128	DAE
h0129	DAE
h0130	DAE
h0131	DAE
h0132	DAE
h0133	DAE
h0134	DAE
h0135	DAE
h0136	DAE
h0137	DAE
t0001	EFG
t0002	ITI
t0002	IFM
t0003	EFG
t0003	PE
t0004	PR
t0005	EFG
t0006	ITI
t0006	IFM
t0007	ME
t0008	LS
t0008	PR
t0009	ITI
t0009	IFM
t0010	ITI
t0010	IFM
t0011	ITI
t0011	IFM
t0012	ITI
t0012	IFM
t0013	ITI
t0013	IFM
t0014	LS
t0015	ME
t0016	PE
t0017	PR
t0018	PE
t0019	ME
t0020	ITI
t0020	IFM
t0021	ITI
t0021	IFM
t0022	LS
t0023	ME
t0024	EFG
t0026	PR
t0028	EFG
t0029	ITI
t0029	IFM
t0030	ME
t0031	EFG
t0032	LS
t0033	LS
t0034	ITI
t0034	IFM
w31426	EEE
t0036	ME
t0037	LS
t0038	LS
t0039	PR
t0040	PR
t0041	EFG
t0042	EFG
t0043	LS
t0044	ME
t0045	ME
t0046	LS
t0048	PE
t0048	LS
t0049	EFG
t0050	ME
t0051	EFG
t0052	ME
t0053	PR
t0054	EFG
t0055	EFG
t0057	PE
t0058	LS
t0059	ME
t0060	EFG
t0061	ME
t0062	ME
t0063	ME
t0064	ITI
t0064	IFM
t0065	ME
t0066	ME
t0067	ME
t0067	EFG
t0068	ME
t0069	ME
t0070	ME
t0071	ME
t0072	PR
t0073	ME
t0074	LS
t0075	ME
t0076	ME
t0077	ITI
t0077	IFM
t0078	EFG
t0079	EFG
t0080	ME
t0081	LS
t0082	EFG
t0083	EFG
t0083	ME
t0084	PE
t0085	PR
t0086	ME
t0087	EFG
t0087	ME
t0088	ME
t0089	EFG
t0090	EFG
t0091	ME
t0092	ITI
t0092	IFM
t0093	EFG
t0094	PE
t0095	ME
t0096	ME
t0097	ME
t0098	ME
t0099	ME
t0100	EFG
t0100	ME
t0101	ME
t0102	PE
t0103	ME
t0104	ITI
t0104	ME
t0104	IFM
t0105	EFG
t0106	EFG
t0107	LS
t0108	ME
t0109	ME
t0110	ME
t0111	EFG
t0112	ME
t0113	PE
t0114	ITI
t0114	IFM
t0115	LS
t0116	EFG
t0117	LS
t0118	LS
t0119	PR
t0120	EFG
t0121	ME
t0122	ME
t0123	PE
t0124	AP
w13561	EH
t0126	EFG
t0127	LS
t0128	IFM
t0128	AP
t0129	AP
t0130	EFG
t0131	AP
t0132	AP
t0133	AP
t0134	AP
t0135	EFG
t0136	LS
t0137	LS
t0138	PE
t0139	EFG
t0140	AP
t0141	AP
t0142	AP
t0143	EFG
t0144	EFG
t0145	AP
t0145	EFG
t0146	LS
t0147	PE
t0148	LS
t0149	LS
t0150	LS
t0151	AP
t0152	AP
t0152	IFM
t0153	AP
t0154	PE
t0155	EFG
t0156	LS
t0157	LS
t0158	LS
t0159	EFG
t0160	LS
t0161	AP
t0162	AP
t0163	AP
t0164	EFG
t0165	EFG
t0166	LS
t0167	EFG
t0167	CF
t0168	PR
t0169	EFG
